img_path,age
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\ALESSANDRA-AMBROSIO-8603-1418361012_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandro_del_piero\y\alessandro-del-piero_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandro_del_piero\alessandro_del_pieroSydney+FC+Training+Session+8J8oFiKdPVkl_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandro_nesta\y\alessandro-nesta_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandro_nesta\alessandro-nesta_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessia_marcuzzi\y\C_2_fotogallery_1007624__ImageGallery__imageGalleryItem_3_image_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessia_marcuzzi\C_2_fotogallery_1007624__ImageGallery__imageGalleryItem_3_image_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_cekalo\y\Marzo_04314_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_cekalo\Marzo_04314_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_domogarov\y\Luglio_02566_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_domogarov\Luglio_02566_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_kerzhakov\y\Novembre_01834_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_kerzhakov\Novembre_01834_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_nezlobin\y\Comedy_Club_01102_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_nezlobin\Comedy_Club_01102_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\y\48488082_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\y\Comedy_Club_00973_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\y\Settembre_04053_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\48488082_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\Comedy_Club_00973_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_revva\Settembre_04053_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_rybak\y\Maggio_03480_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexander_rybak\Maggio_03480_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexa_chung\y\9.-Alexa-Chung_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexa_chung\9.-Alexa-Chung_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexa_penvega\y\Agosto_03053_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexa_penvega\Agosto_03053_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_chadov\y\Settembre_04677_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_chadov\Settembre_04677_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_navalny\y\Politicians_03420_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_navalny\Politicians_03420_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_panin\y\Settembre_02918_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexei_panin\Settembre_02918_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexis_bledel\y\alexis-bledel-young_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexis_bledel\y\alexis2_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexis_bledel\y\celebrities-who-dont-seem-to-age-photos-8_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexis_bledel\Alexis_Bledel_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alexis_bledel\celebrities-who-dont-seem-to-age-photos-8_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alex_d_linz\y\Gennaio_01203_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alex_d_linz\Gennaio_01203_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfonso_ribeiro\y\alfonso_ribeiro51b65c0002cc88054a7e44e2861bd4b9_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfonso_ribeiro\y\alfonso_ribeiro_3ea201e84f254345e5bdd11c27a1427c_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfonso_ribeiro\y\famous_tv_show_stars_then_and_now_640_21_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfonso_ribeiro\famous_tv_show_stars_then_and_now_640_21_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfred_hitchcook\y\Agosto_03930_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfred_hitchcook\y\Directors_00844_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfred_hitchcook\Agosto_03930_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alfred_hitchcook\Directors_00844_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alice_cooper\y\Febbraio_02017_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alice_cooper\Febbraio_02017_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alice_cooper\photos-celebrites-then-and-now6_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alice_cooper\photos-celebrites-then-and-now6_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\y\alicia_keys_e93729b3a63b27e7e66e8944d1716150_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\y\alicia_keys_ec5e2a8648218bee4c0182acafa73c76_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\y\alicia_keys_ec5e2a8648218bee4c0182acafa73c76_2_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\y\alicia_keys_ec5e2a8648218bee4c0182acafa73c76_3_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\y\alicia_keys_ec5e2a8648218bee4c0182acafa73c76_4_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_keys\alicia_keys_MTE5NDg0MDU1MjIwNzQ5ODM5_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\y\5(2284)_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\y\77421fa51fa52804aef0f7848baa0377_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\y\ageless_celebrities_05_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\y\alicia_silverstonecb840445dbf3aa8ae6be2adee057a174_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\5(2284)_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alicia_silverstone\ageless_celebrities_05_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alina_kabaeva\y\Maggio_02088_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alina_kabaeva\Maggio_02088_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\y\Aline-Weber2_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\y\Aline-Weber2_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\y\Aline-Weber_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\y\Aline-Weber_4.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\Aline-Weber_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aline_weber\top-model-da-bambine-aline-weber_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alison_stone\y\Agosto_05062_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alison_stone\Agosto_05062_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alla_pugacheva\y\Aprile_04152_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alla_pugacheva\Aprile_04152_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\y\celebrities-who-dont-seem-to-age-photos-3_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\y\How_I_met_your_mother_00911_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\y\Marzo_04684_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\celebrities-who-dont-seem-to-age-photos-3_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\How_I_met_your_mother_00911_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyson_hannigan\Marzo_04684_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_milano\y\alyssa_milano0a84ea2a366a0cd01b3976effb3219e4_2_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_milano\y\Dicembre_02245_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_milano\alyssa_milano0a84ea2a366a0cd01b3976effb3219e4_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_milano\Dicembre_02245_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_miller\y\алиса миллер_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alyssa_miller\алиса миллер_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\al_pacino\y\al_pacino_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\al_pacino\y\Aprile_00997_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\al_pacino\y\stars_02_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\al_pacino\Aprile_00997_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\al_pacino\stars_02_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amanda_seyfried\y\c18b2af70d07_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amanda_seyfried\y\Dicembre_00661_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amanda_seyfried\c18b2af70d07_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amanda_seyfried\Dicembre_00661_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amber_tamblyn\y\Doctor_House_01366_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amber_tamblyn\y\Maggio_03605_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amber_tamblyn\Doctor_House_01366_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amber_tamblyn\Maggio_03605_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_lee\y\Dicembre_03517_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_lee\Dicembre_03517_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_poehler\y\2014-09-04_0951_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_poehler\2014-09-04_0951_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_winehouse\y\1288173906_doseng.org_1288153636_002_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_winehouse\y\amy-winehouse_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_winehouse\y\amy_winehouse_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_winehouse\1288173906_doseng.org_1288153636_002_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\amy_winehouse\amy-winehouse_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_slanevskaya\y\Maggio_02840_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_slanevskaya\Maggio_02840_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_zavorotnyuk\y\1382085171_019_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_zavorotnyuk\y\50574365_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_zavorotnyuk\1382085171_019_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anastasia_zavorotnyuk\50574365_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anatoly_chubais\y\Politicians_02031_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anatoly_chubais\Politicians_02031_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\ana_beatriz_barros\y\ana-beatriz-barros_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\ana_beatriz_barros\y\ana_beatriz_barros2_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\ana_beatriz_barros\ana-beatriz-barros_3.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\ana_beatriz_barros\ana_beatriz_barros_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_balestri\y\andrea-balestri_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_balestri\andrea-balestri_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\y\andrea_casiraghi_14-charlotte-casiraghi-baby--a_3_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\y\andrea_casiraghi_6-14721-andrea-1344287361_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\Andrea-Casiraghi-actores-menos-guapos-feos_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\andrea-casiraghi-princess-charlotte-casiraghi-18711823-267-400_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\andrea-casiraghi_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_casiraghi\andrea_casiraghi_6-14721-andrea-1344287361_2_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_pirlo\y\andrea-pirlo_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_pirlo\andrea_pirloMTE1ODA0OTcyMDcyOTI4Nzgx_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrea_pirlo\andrea_pirlo_tumblr_m64w4kp8HZ1qaqxgo_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_krasko\y\Agosto_02680_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_krasko\Agosto_02680_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_makarevich\y\Dicembre_04663_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_makarevich\Dicembre_04663_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_malakhov\y\Gennaio_00949_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_malakhov\Gennaio_00949_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_panin\y\Maggio_04245_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrei_panin\Maggio_04245_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_fedortsov\y\Agosto_04944_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_fedortsov\Agosto_04944_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_garfield\y\Agosto_02171_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_garfield\Agosto_02171_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_lincoln\y\The_Walking_Dead_00282_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_lincoln\The_Walking_Dead_00282_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_ridgeley\y\1288173889_doseng.org_1288153648_003_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_ridgeley\1288173889_doseng.org_1288153648_003_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_scott\y\True_Detective_and_Sherlock_00787_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrew_scott\True_Detective_and_Sherlock_00787_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andre_agassi\y\tennis_players_when_they_were_young_08_1_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andre_agassi\y\tennis_players_when_they_were_young_08_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andre_agassi\tennis_players_when_they_were_young_08_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrij_schevchenko\y\andrij-schevchenko_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrij_schevchenko\Andriy-Shevchenko-001_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andrij_schevchenko\Andriy_Shevchenko-ua2011_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andy_san_dimas\y\Pornostars_01306_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\andy_san_dimas\Pornostars_01306_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anfisa_chekhova\y\Dicembre_02677_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\anfisa_chekhova\Dicembre_02677_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\angele_lindvall\y\angele-lindvall-ieri-e-oggi_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\angele_lindvall\angele-lindvall-ieri-e-oggi_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\angelina_jolie\y\1301482561_actres-ad-1_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\angelina_jolie\y\1301482561_actres-ad-1_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\angelina_jolie\y\174463842_1.png,y
